Greek Word,English Translation,Similar,Example Sentence
και,and,,"Aphthous- άφθες όπως έλκος εμφανίζεται επίσης σε όρους που αφορούν συστημική ανοσο-απορύθμιση, π.χ. κυκλική ουδετεροπενία και λοίμωξη από τον ιό ανθρώπινης ανοσοανεπάρκειας."
ο Μάρτιος,March,,
ο γιος,son,,"Bede, III, 7. Το Αγγλοσαξωνικό χρονικό αναφέρει οτι παραχώρησε τα εδάφη στο Άσντοοου σε έναν ευγενή με το όνομα Κάθρεντ, αν πραγματικά η ημερομηνία θανάτου του Κάθρεντ ήταν το 661 πιθανότατα να ήταν γιος του Κουίκχελμ αν πραγματικά ήτα γιος του Κίνεγκιλς."
η εικόνα,image,,"Αν και αρκετές αναφορές περιγράφουν τον Κέρουακ να γράφει σε αυτό το διάστημα των τριών εβδομάδων πυρετωδώς, υπό την επήρεια της αμφεταμίνης μπενζεντρίνη, η αλληλογραφία του με τον Γκίνσμπεργκ και τον Κάσσαντι ανατρέπει αυτή την εικόνα."
η επίθεση,attack,,"Από εκείνο το μέρος σχεδιάστηκε να γίνει μια αντεπίθεση με μονάδες της 5ης αμυντικής στρατιάς, της 5ης αμυντικής στρατιάς αρμάτων μάχης, καθώς και της 1ης στρατιά αρμάτων μάχης, της 6ης και της 7ης αμυντικής στρατιάς."
κατάφερε,managed,,"Άρχισε να σχεδιάζει κόμικς για διάφορες μικρές εταιρίες του χώρου, ώσπου στα μέσα της δεκαετίας κατάφερε να δουλέψει για πρώτη φορά στη Marvel."
η κορυφή,peak,,Ανακαλύφθηκε το 1979 στην κορυφή Λα Σίγια των χιλιανὠν Άνδεων.
το νησί,island,,"Αμέσως μετά σε ένα ατυχές κυνήγι με τον πατέρα του στο νησί του Λιό (1223) οι δυο συμβασιλείς αιχμαλωτίστηκαν από τον Ερρίκο Α΄ του Σουερίν, έμειναν φυλακισμένοι ως το 1226."
η πολιτική,policy,,Drake 2008 Με την σύσταση του Μεγάλου Κοινοβουλίου έγινε ένας από τους μεγαλύτερους επικριτές της βασιλικής πολιτικής.
"πολλοί, πολλές, πολλά",many,,"O Martin έχει δουλέψει ως παραγωγός με πολλούς ξένους καλλιτέχνες και συγκροτήματα (Stereophonics, Puressence, Les Negresses Vertes, David Byrne, EMF, Mansun, Skunk Anansie, Reef, Queen κ.α.)."
"τελικός, τελική, τελικό",final,τελικά,"Από κάθε ημιτελικό, τα τραγούδια που κερδίζουν την πρώτη και τη δεύτερη θέση προκρίνονται απευθείας στον τελικό, ενώ τα τραγούδια που τερματίζουν τρίτο και τέταρτο προχωρούν στον γύρο της δεύτερης ευκαιρίας."
Ο Απρίλιος,April,,
οι άνθρωποι,people,,Αναφορά στο χωριό κάνει και ο Ιφικράτης Κοκκίδης στο έργο του «Οδοιπορικά Ηπείρου και Θεσσαλίας» που εξέδωσε το ελληνικό Υπουργείο Στρατιωτικών (Αθήνα 1880) και μας δίνει την πληροφορία ότι στο χωριό κατοικούσαν περίπου 400 άνθρωποι.
ο βαθμός,degree,,"Umbreit (2005): 194–203 Μερικοί εργαζόμενοι βρίσκονται στο σε μεγάλο βαθμό εγκαταλειμμένο Πυραμίντεν για να συντηρούν τις υποδομές και να λειτουργούν το ξενοδοχείο, που άνοιξε εκ νέου για τους τουρίστες."
μέσο,"mean, average",,"Folch Ωστόσο, το μέσο μέγεθος της ωοτοκίας είναι 26 αβγά, από 7 διαφορετικά θηλυκά."
έφτασε,arrived,,"Αυτή φεύγοντας με το άλογο περιπλανιόταν στα δάση δίχως να ξέρει πού πάει, ώσπου έφτασε στις όχθες του Ιορδάνη."
βρισκόταν,was located,,Gunnes (1976) p. 331 Μετακίνησε την έδρα του στο Χόλμεν την ανατολική ακτή του Βαγκέν όπου βρισκόταν ο πυρήνας της πόλης αναπτύσσοντας σημαντικά την γραφειοκρατία.
διαθέτει,has,,"Ανάλογα με τα στοιχεία που διαθέτει το αλφάβητο, διαφοροποιείται και το περιεχόμενο της συμβολοσειράς."
η εκκλησία,church,,"Cokayne 1929, p. 484. Ο Λάτιμερ τάφηκε στο κάστρο του Σνέιπ στην εκκλησία του Σαιν Μισέλ στο Γουέλς μέσα στο παρεκκλήσι των Νέβιλ."
οι θέσεις,seats,,"Frieser 1995, p. 193. Ορισμένες από τις οχυρωματικές θέσεις ήταν άθικτες και οι φρουρές απέκρουσαν τις προσπάθειες της 2ης και 10ης μεραρχίας Πάντσερ."
παρέμεινε,remained,,"Από όταν ολοκληρώθηκε η ανακαίνιση του 1867, η βασική εμφάνιση του μεγάρου Ελιζέ παρέμεινε η ίδια."
περιέχει,contains,,''Αυτός ο κατάλογος περιέχει τον εξοπλισμό που είναι σε χρήση από τις Κυπριακές ένοπλες δυνάμεις.
οι πηγές,sources,,"Runciman 1989, σ. 458. Σε μία προσπάθεια του να φτάσει στις πηγές κοντά στην Χαττίν ο Ραϋμόνδος επιτέθηκε με το ιππικό του στις δυτικές πλευρές του Μουσουλμανικού στρατού και μπόρεσε να ανοίξει ένα ασφαλές πέρασμα για τον στρατό του."
το πρόβλημα,problem,,"Για να λυθεί αυτό το πρόβλημα, έγινε θωράκιση του όπλου για να μειώσει την απειλή αυτή, αλλά δεν έλυσε πλήρως το πρόβλημα."
ο πόλεμος,war,,"Paolo Diacono, Historia Langobardorum, IV, 41. Ο Θεοδελίνδα συνέχισε την πολιτική του Αγιλούλφου κλείνοντας ειρήνη με τους Βυζαντινούς και αντιτάχθηκε σκληρά στους Αρειανούς που υπήρχαν στο βασίλειο της οι οποίοι αναζητούσαν πόλεμο με τους Βυζαντινούς."
το όνομα,name,,To νεώτερο όνομά του Πάνιτσα ή Μπάνιτσα είναι σλάβικο.
ο όρος,term,,"O Ροπαλοφόρος θέλει να χτυπήσει την μπάλα, ενώ ο Ρίπτης προσπαθεί να τον ξεγελάσει και να πετύχει το αντίθετο."
Αθηνών,of Athens,,
"εθνικός, εθνική, εθνικό",national,,"Αγωνίστηκε για 11 συνεχόμενα χρόνια στην εθνική ομάδα πόλο των Ανδρών με την οποία σημείωσε μεγάλες διακρίσεις, αποτελώντας μέρος μιας χρυσής φουρνιάς παικτών που κυριάρχησαν σε διεθνές επίπεδο μέσα στη δεκαετία του 2000."
οι άνδρες,men,,"Αν και αποδείχτηκε σοφή αρχηγός, οι άνδρες της φυλής ήταν δυσαρεστημένοι, που έπαιρναν διαταγές από μια γυναίκα και της ζήτησαν να επιλέξει έναν σύζυγο."
η έκταση,area,,"Άλλοι επιστήμονες, ως λίμνες παγετωνικής διάβρωσης χαρακτηρίζουν κι αυτές που σχηματίζονται στη ζώνη αρχικής συσσώρευσης του πάγου, οι οποίες είναι συνήθως στρογγυλές και περιορισμένης έκτασης."
η απόσταση,distance,,"Αναφέρει, πάντως ρητά ότι βρισκόταν σε σημείο κοντά στην επίπεδη κορυφή του Νησιού και σε μικρή απόσταση από σύγχρονη εξοχική κατοικία."
οι δυνάμεις,forces,,Αποσύρεται πέρα από το Σουκικό Πέρασμα (Ίχτιμαν) πίσω στο Ιλλύριο και αναφέρει στο Γρατιανό ότι μία εκστρατεία με τις κύριες αυτοκρατορικές δυνάμεις απαιτείται για την απώθηση των Γότθων στη Θράκη.
η δύναμη,power,,"Αλλά μια ειρήνη εκείνη την χρονική στιγμή θα ήταν ισοδύναμη με την αποχώρηση του Λίνκολν πιθανόν για πάντα από τον πολιτικό χάρτη της χώρας, πράγμα που υποστήριζαν ακόμα και άτομα από το δικό του κόμμα."
η εμφάνιση,appearance,,"Αντικατέστησε επίσης τους επίσημους κήπους του 1ου δούκα με μία πιο φυσική εμφάνιση, σχεδιασμένη από τον Λάνσελοτ Μπράουν, ο οποίος βοήθησε να έλθει το στυλ αυτό στη μόδα."
η μέρα,day,μέτρα,"Αν η λειτουργία ανάληψης επιτύχει ενώ η λειτουργία κατάθεσης αποτύχει (ή ανάποδα), τα βιβλία της τράπεζας δε θα κλείσουν σωστά στο τέλος της ημέρας."
η μέση,waist,,"Αγκάλιαζε το σώμα και ερχόταν να καταλήξει πίσω στη μέση, όπου δενόταν με σκοινί."
οποίων,whose,,DH 110 Προενισχυτής με προαιρετικό στάδιο phono DH 112 για κεφαλές κινητού πηνίου και πολλαπλές εισόδους μεταξύ των οποίων και CD.
η πλευρά,side,,"Nevins, 6 Από την πλευρά της μητέρας του, ο Κλίβελαντ καταγόταν από Αγγλοϊρλανδούς Προτεστάντες και Γερμανούς Κουακέρους από τη Φιλαδέλφεια."
οι πόλεις,cities,,"Kontor: Tα Kontore ήταν ξένοι εμπορικοί σταθμοί της Ένωσης, όχι Χανσεατικές πόλεις-μέλη και μπαίνουν σε ξεχωριστό πίνακα παρακάτω."
σημαίνει,means,,"Αν πάλι και οι δύο ομάδες έχουν τους ίδιους πόντους, τότε η αντίπαλη ομάδα τους γράφει κανονικά ενώ της ομάδας που αγόρασε κρέμονται, που σημαίνει ότι όποια ομάδα κερδίσει την επόμενη παρτίδα θα πάρει και τους βαθμούς που κρέμονται από την προηγούμενη."
υπήρχαν,there were,,"Paolo Diacono, Historia Langobardorum, IV, 41. Ο Θεοδελίνδα συνέχισε την πολιτική του Αγιλούλφου κλείνοντας ειρήνη με τους Βυζαντινούς και αντιτάχθηκε σκληρά στους Αρειανούς που υπήρχαν στο βασίλειο της οι οποίοι αναζητούσαν πόλεμο με τους Βυζαντινούς."
ο χαρακτήρας,character,,"Αρχικά ο χαρακτήρας των Βαράγγων ήταν πολεμικός, όπως των Βίκινγκ συγγενών τους."
η Ευρώπη,Europe,,
τότε,then,,"Ακόμα και τότε η ζάχαρη ήταν τόσο ακριβή, που συνήθως μόνο οι πλούσιοι μπορούσαν να ικανοποιηθούν σε ειδικές περιστάσεις."
η έννοια,"sense, meaning",,"To Gamification είναι μια έννοια η οποία εφαρμόζεται σε πολλούς τομείς, έχει τεχνικά χαρακτηριστικά ενός παιχνιδιού (game) αλλά δεν είναι παιχνίδι (game)."
η διαδικασία,procedure,,"Ακόμη, η χώρα έπαιξε σημαντικό ρόλο στην ανάπτυξη της διαδικασίας της ευρωπαϊκής ολοκλήρωσης που άλλαξε την ήπειρο μόνιμα."
εμφανίζεται,shows up,,"Aphthous- άφθες όπως έλκος εμφανίζεται επίσης σε όρους που αφορούν συστημική ανοσο-απορύθμιση, π.χ. κυκλική ουδετεροπενία και λοίμωξη από τον ιό ανθρώπινης ανοσοανεπάρκειας."
η εταιρεία,company,,"A, μίας θυγατρικής εταιρείας που ιδρύθηκε με σκοπό την κατασκευή, τη διαχείριση και τη διατήρηση της κατασκευής."
το κοινό,public,,"Αμέσως, η κοινότητα των έγχρωμων απάντησε με μποϋκοτάρισμα της χρήσης των λεωφορείων, μέχρι να ματαιωθούν όλοι οι ρατσιστικοί νόμοι που ίσχυαν μέχρι τότε."
το μέγεθος,size,,"Folch Ωστόσο, το μέσο μέγεθος της ωοτοκίας είναι 26 αβγά, από 7 διαφορετικά θηλυκά."
μερικές,a few,,"Ένα μικροκλίμα είναι ένα τοπικό σύνολο ατμοσφαιρικών συνθηκών που διαφέρουν από εκείνες των γύρω περιοχών, συχνά με μια μικρή διαφορά, αλλά μερικές φορές με μια πιο ουσιαστική."
ονομάζεται,it is called,,"Αν η γωνία μεταξύ ευθειών ή κύκλων σε ένα σημείο τομής είναι μηδενική, τότε ορίζεται ότι αυτά εφάπτονται, το σημείο τομής ονομάζεται σημείο επαφής."
τα πλοία,ships,,"Από τα τρία εμπορικά πλοία, το ένα φορτωμένο με πυρομαχικά χτυπήθηκε και ανατινάχτηκε, ένα δεύτερο πυρπολήθηκε και το τρίτο χτυπήθηκε."
η στιγμή,dot,,"Αλλά μια ειρήνη εκείνη την χρονική στιγμή θα ήταν ισοδύναμη με την αποχώρηση του Λίνκολν πιθανόν για πάντα από τον πολιτικό χάρτη της χώρας, πράγμα που υποστήριζαν ακόμα και άτομα από το δικό του κόμμα."
το σχέδιο,plan,,"Nicholas Kratzer (1487-1550), ο οποίος εργαζόταν ως δάσκαλος για την οικογένεια του Μορ και του οποίου οι σημειώσεις διακρίνονται στο προπαρασκευαστικό σχέδιο της ομαδικής προσωπογραφίας της οικογένειας."
άλλοι,others,,"PFL αποδεκτή οικονομική, υλική και οργανωτική υποστήριξη από το κράτος, τους δήμους, δημόσιους οργανισμούς, εταιρείες και άλλους φορείς για την ανάπτυξη του ποδοσφαίρου."
άρχισαν,they started,,"Από την άλλη, ο Τόρβαλντς έχει επίσης πει ότι «μια γκρίζα περιοχή είναι οι οδηγοί υλικού που γράφτηκαν αρχικά για άλλο λειτουργικό σύστημα (δηλαδή δεν άρχισαν ως παράγωγα έργα του Linux)."
ο αριθμός,number,,To 2016 ο αριθμός των ετήσιων γεννήσεων στην Ιαπωνία δεν υπερέβη για πρώτη φορά το 1.000.000.
η γυναίκα,woman,,Αμέσως Ιζαμπέλα παίρνει την πρωτοβουλία ζητώντας από τον Μουσταφά ποια είναι η γυναίκα με τον Lindoro.
ειδικά,especially,,"Αρκετοί κατασκηνωτές, ειδικά εκείνοι που γνώριζαν καλά το νησί, κολύμπησαν στη βραχώδη δυτική πλευρά του νησιού και κρύφτηκαν στις σπηλιές που είναι προσβάσιμες μόνο από το νερό."
η εξουσία,power,,motions and stirrings' had been made Ανέλαβε πλήρως τη βασιλική εξουσία όταν ενηλικιώθηκε.
επίσημα,officially,,"Αιτία της ακύρωσης είναι η χαμηλή συμμετοχή, που καταγράφεται επίσημα στο 20,41%."
κάποιες,some,,Αλλάζουν το όνομα τους σε Squires και μετά από λίγο και κάποιες μικροαλλαγές στη σύνθεση τους γεννιούνται οι Count Five.
κανείς,you do,,"Eπίσης αξίζει να δει κανείς το Δημοτικό Σχολείο Βυτίνας, το οποίο αποτελεί ευεργέτημα του Ανδρέα Συγγρού."
οι περιπτώσεις,cases,,"Ακόμη, σε πολλές περιπτώσεις απαγορεύεται το κυνήγι των θηλυκών ζώων."
η πηγή,source,,Grove and MacLaren Η απογραφή της περιουσίας του έχει διασωθεί και αποτελεί τη βασική πηγή πληροφοριών για την εντυπωσιακή συλλογή έργων τέχνης που διέθετε.
πολλών,many,,Ανακαλύφθηκαν στρώματα που δείχνουν ανθρώπινη δραστηριότητα πολλών χιλιετιών.
το πρόγραμμα,program,,"Ακόμα και όταν το μεταρρυθμικό πρόγραμμα αποτυγχάνει, είναι σημαντικό οι γυναίκες αυτές να έχουν δικαίωμα στην κυριότητα αυτών των ακινήτων."
τα χιλιόμετρα,kilometers,,"Ακριβώς δίπλα στο κέντρο του Μπουένος Άιρες και τρία χιλιόμετρα μακριά από το Ρίβερ Πλέιτ, αυτή η περιοχή διαφέρει από τα συνηθισμένα πάρκα."
όλους,everyone,,"Από την ηλικία των 6 ετών και όταν πρωτοπήγε σε χωριστό (μόνο για έγχρωμους) δημόσιο δημοτικό σχολείο, έχασε όλους τους λευκούς φίλους του, αφού πλέον δεν επιτρεπόταν να κάνουν παρέα."
οι ώρες,hours,χώρες,"Oι διεθνείς εθελοντές ήταν κυρίως σοσιαλιστές,αναρχικοί,κομμουνιστές,η απλά οι χώρες τους είχαν κομμουνιστικά καθεστώτα."
η Γαλλία,France,,
ο Οκτώβριος,October,,
οι πολιτείες,states,,"Είκοσι έξι πολιτείες έχουν υιοθετήσει μια έκδοση του Healthy Workplace Bill, το οποίο παρέχει έναν ορισμό αυτής της συμπεριφοράς και υποστήριξη για τους εργοδότες ώστε να αντιμετωπίσουν τέτοιες συμπεριφορές μέσω πειθαρχικών μέτρων."
η άποψη,point of view,,"Άλλη άποψη δέχεται ότι το 10 ο αιώνα, ενώ η βασιλική φυλή αποδέχθηκε επίσημα τον Ιουδαϊσμό, μια ακανόνιστη διαδικασία εξισλαμισμού έλαβε χώρα στην πλειοψηφία των Χαζάρων."
ο έλεγχος,control,,"Borchert (2011), 22 Αυτή η νέα ελευθερία στον έλεγχο του φωτός οδήγησε σε περισσότερο ακριβείς και ρεαλιστικές απεικονίσεις των υφών των διαφόρων επιφανειών."
έπειτα,afterward,,"Από κει κι έπειτα ο Μπερνίνι χρησιμοποιούσε πάντα ως τέχνασμα τη χρήση των ρούχων σαν μέσο υποστήριξης του πνευματικού μηνύματος, σε ένα παιχνίδι εσοχών και προεξοχών, φωτός και σκιάς."
η αντίθεση,contrast,,"Αλλά σε αντίθεση με την ιεραρχική, κάθε θυγατρικός κόμβος μπορεί να είναι συνδεδεμένος με πολλαπλούς, ανώτερου επιπέδου, γονικούς κόμβους."
το βάρος,weight,,"Αντιμετώπιζε καρδιολογικά προβλήματα, και έτσι το Φεβρουάριο του 1992 οι γιατροί του συνέστησαν να χάσει βάρος και να εισαχθεί για εγχείριση bypass."
γεννήθηκε,he was born,,Αυτό το θεώρησε ως ευοίωνο σημείο και πράγματι γεννήθηκε υιός λίγο πριν αποβιώσει ο άγιος Άνθελμος.
δημιουργήθηκε,was created,,"The Last Days of Richard III and the Fate of His DNA Δεν δημιουργήθηκε κανένα μνημείο προς τιμή της βασίλισσας Άννας μέχρι το 1960 που η ""Κοινωνία του Ριχάρδου Γ"" ανήγειρε μια στήλη από μπρούτζο στον τάφο της."
τα μέτρα,meters,,Άλλοι επίσης συγγραφείς του 18ου αιώνα έστρεψαν περισσότερο την προσοχή τους σε θέματα που αφορούσαν τον όγκο της απασχόλησης ως κριτήριο αποδοτικότητας των ρυθμιστικών μέτρων και όχι τόσο σε καθαρά κέρδη από τα πολύτιμα μέταλλα.
μόλις,just,,"Αποθηκεύεται καλύτερα στη μορφή λοβού (pod) και τούτο διότι μόλις οι σπόροι εκτεθούν ή τριφτούν, χάνουν γρήγορα τη γεύση τους."
πάλι,again,,"Meyer, τ. Β', σ. 312–314 Τρία χρόνια αργότερα, το 1998, κυκλοφόρησε η πρώτη και (εκτός της εργασίας του MGFA) η μοναδική ως τώρα βιογραφία του Λούντβιχ Κύμπλερ, πάλι από τον Ρόλαντ Κάλτενέγκερ."
η περίοδος,period,,"Αγωνίστηκε δύο χρονιές με την ομάδα, οδηγώντας την σε ένα πρωτάθλημα περιφέρειας, με μέσο όρο 29,9 πόντων και 18,3 ριμπάουντ ανά παιχνίδι και στις δύο περιόδους."
ο πόλεμος,war,,To πρώην Βαυαρικό Κρατικό Κοινοβούλιο στην Prannerstraße είχε υποστεί σοβαρές ζημιές κατά τη διάρκεια του πολέμου.
η συλλογή,collection,,Grove and MacLaren Η απογραφή της περιουσίας του έχει διασωθεί και αποτελεί τη βασική πηγή πληροφοριών για την εντυπωσιακή συλλογή έργων τέχνης που διέθετε.
το σύστημα,systemic,,"Έγραψε δύο μακροσκελείς επιστολές στον συντάκτη της εφημερίδας Daily Chronicle, περιγράφοντας τις απάνθρωπες συνθήκες στις Αγγλικές φυλακές, προτείνοντας ολική αναμόρφωση του σωφρονιστικού συστήματος."
"τοπικός,  τοπική, τοπικό",local,,"Από τους πρώτους αιώνες της Οθωμανικής περιόδου, η τοπική μητρόπολη αποτελούνταν από δύο γεωγραφικά ασυνεχείς περιοχές, την Νικομήδεια και την Απολλωνιάδα."
Ηνωμένες,united,,
η έρευνα,research,,"Για κάθε έρευνα κατ'οίκον συντάσσεται έκθεση κατ'οίκον έρευνας, και αντίγραφο της έκθεσης μπορεί να δοθεί και στον ένοικο της κατοικίας όπου έγινε αυτή με προφορική αίτησή του."
η βοήθεια,aid,,"Άμα διεδόθη η είδησις του εν Κορώνη κινδύνου επτακόσιοι σπαΐδες έσπευσαν εκ Σπάρτης εις βοήθειαν των πολιορκουμένων υπό την αρχηγία του Ζαδάρ και Τραδίτου, και περί το λυκαυγές κατώρθωσαν να εισέλθωσι δια των προαστείων."
η γλώσσα,language,,"Αντίστοιχα σκραμπλ στην αγγλική και στη γαλλική γλώσσα είναι οι λέξεις WHISKEY και WHISKYS, που βαθμολογούνται με 144 πόντους το καθένα."
η θεωρία,theory,,"Αν και αυτό το μοντέλο λειτουργεί καλά στη θεωρία, είναι δύσκολο να υλοποιηθεί στη πράξη και λίγα λειτουργικά συστήματα το υποστηρίζουν."
η λέξη,word,,Ακολούθως η λέξη έγινε αναρίτης.
η μελέτη,study,,Από το 2000 και μετά οι πράκτορες άρχισαν να ξεφεύγουν από τον χώρο της φαντασίας και έγιναν σιγά σιγά αντικείμενο μελέτης και πειραματισμού.
οδήγησε,has led,,"Borchert (2011), 22 Αυτή η νέα ελευθερία στον έλεγχο του φωτός οδήγησε σε περισσότερο ακριβείς και ρεαλιστικές απεικονίσεις των υφών των διαφόρων επιφανειών."
ο οικισμός,settlement,,"Είναι ο πιο πυκνοκατοικημένος οικισμός με μικρούς ξενώνες, εστιατόρια, κατάστημα ενοικίασης ποδηλάτων, καφετέριες, αστυνομικό τμήμα, κοινοτική κλινική με ασθενοφόρο και λιμενική αρχή."
οικονομική,economic,,"PFL αποδεκτή οικονομική, υλική και οργανωτική υποστήριξη από το κράτος, τους δήμους, δημόσιους οργανισμούς, εταιρείες και άλλους φορείς για την ανάπτυξη του ποδοσφαίρου."
παραπάνω,above,,Αν συνυπολογιστούν όλα τα παραπάνω οι συνολικοί ένοπλη δύναμη των Αχαιών ανέρχονταν από 70.000 ως 130.000 άντρες.
περιλαμβάνουν,include,,Άλλα νάιλον περιλαμβάνουν προϊόντα συμπολυμερισμένου δικαρβοξυλικού οξέος/διαμίνης που δεν βασίζονται στα μονομερή που προαναφέρθηκαν.
η τιμή,price,,"The Last Days of Richard III and the Fate of His DNA Δεν δημιουργήθηκε κανένα μνημείο προς τιμή της βασίλισσας Άννας μέχρι το 1960 που η ""Κοινωνία του Ριχάρδου Γ"" ανήγειρε μια στήλη από μπρούτζο στον τάφο της."
το χρώμα,colour,,"Αν και ο Βάλντι είχε μία ποικιλία διαφορετικών χρωματικών συνδυασμών, έχει αναφερθεί έχει κατά καιρούς αναφερθεί ότι το κύριο σύστημα σχεδιάστηκε για να ταιριάζει με τα χρώματα των Ολυμπιακών κύκλων, δηλαδή μπλε, πράσινο κίτρινο, πορτοκαλί και πράσινο."
όλων,of all,,"Ακόμη κι αν θεωρηθεί ότι αυτές οι παραδόσεις στοιχειοθετούν υπαγωγή όλων αυτών των φύλων σε μια ευρύτερη φυλετική ομάδα, αυτή δεν θα μπορούσε να συμπεριλαμβάνει τους Παίονες οι οποίοι δεν ήταν θρακικό φύλο."
ο Σεπτέμβριος,September,,
έξι,six,,"O καρπός φέρει πυκνές ομάδες βεντουζών, σε έξι ή επτά ακανόνιστες, εγκάρσιες σειρές."
ανά,per,,"Bede, III, 7. Το Αγγλοσαξωνικό χρονικό αναφέρει οτι παραχώρησε τα εδάφη στο Άσντοοου σε έναν ευγενή με το όνομα Κάθρεντ, αν πραγματικά η ημερομηνία θανάτου του Κάθρεντ ήταν το 661 πιθανότατα να ήταν γιος του Κουίκχελμ αν πραγματικά ήτα γιος του Κίνεγκιλς."
"αρκετοί, αρκετές, αρκετά",several,,"Harris 2017, σ. 78 Της δόθηκε πλήρη εκπαίδευση όπως και στις άλλες τρεις αδελφές της, όχι μόνο στο νοικοκυριό, αλλά και στα Λατινικά, σε αρκετές άλλες γλώσσες, στην ιστορία, στη φιλοσοφία και στις κλασικές σπουδές."
ο γάμος,Wedding,,"Belyakova, p. 91 Ήταν ευγενικός και προσεκτικός με την Όλγα, αλλά εκείνη λαχταρούσε αγάπη, κανονικό γάμο και παιδιά."
η γραμμή,line,,"Αν και πολλές οι πολυκατοικίες του Μπόνη στη μεσοπολεμική Αθήνα, με τη βαριά και αυστηρή τους γραμμή, υστερούν έναντι εκείνων άλλων συναδέλφων του, που ασχολήθηκαν συστηματικότερα με το θέμα."
ο εαυτός,himself,αυτό,"Ανίκανη να φροντίσει τον εαυτό της, η Όλγα πήγε να μείνει με δύο Ρώσους φίλους της, τον Κωνσταντίνο και τη Σιναΐδα Μαρτεμιάνοφ, σε ένα διαμέρισμα πάνω από ένα σαλόνι ομορφιάς στην οδό Gerrard Street 716 στο Τορόντο."
ο επικεφαλής,head,,"Ανακαλύφτηκε τον Ιανουάριο του 1820, από μια βρετανική αποστολή με επικεφαλής τον Έντουαρντ Μπράσφιλντ (Edward Bransfield), που της έδωσε το συγκεκριμένο όνομα λόγω των πιγκουίνων που ζούσαν στις ακτές της."
το κάστρο,castle,,"Cokayne 1929, p. 484. Ο Λάτιμερ τάφηκε στο κάστρο του Σνέιπ στην εκκλησία του Σαιν Μισέλ στο Γουέλς μέσα στο παρεκκλήσι των Νέβιλ."
το κλίμα,climate,,"Ανέκαθεν, ιστορικώς η Κολχίδα αναφέρεται ως τόπος πλούσιος τόσο στη γεωργία, λόγω του ευνοϊκού της κλίματος, όσο και σε ορυκτά."
μερικά,a few,,"Dollhouse είναι μια αμερικάνικη σειρά περιπέτεια φαντασίας, η οποία είναι γραμμένη και σκηνοθετημένη από τον Joss Whedon."
ο ναός,temple,,"Αν και ο ναός είχε φτάσει στο στάδιο επισκευής της στέγης το 1953, οι εργασίες επιβραδύνθηκαν και αναζητήθηκαν χρήματα μέσω εράνων."
ξανά,again,ανά,"Shadis 2010, p. 54. Ο Κορράδος και η Βερεγγαρία δεν είδαν ποτέ ξανά ο ένας τον άλλον Shadis 2010, pp."
η παρουσία,presence,,"Barber 2012, p. 147. Ο βασιλιάς δέχτηκε την πρόταση και έστειλε τον στρατό του να κυριεύσει το Μπανιάς και με πλεονέκτημα την παρουσία νέων Σταυροφόρων αποφάσισε να επιτεθεί στην Δαμασκό."
το περιοδικό,magazine,,"Cecylia - przyczynek do genezy apokryfów» («Αγία Σεσίλια - μια συμβολή στη γένεση των αποκρύφων»), που δημοσιεύθηκε το 1922 στο περιοδικό Lud (Λαός)."
τα συνολικά,in total,,"Alexander Beker το οποίο ξεκίνησε να χτίζεται το 1896, ενώ το όλο χτίσιμο διήρκεσε συνολικά 6 έτη."
τώρα,now,,"Meyer, τ. Β', σ. 312–314 Τρία χρόνια αργότερα, το 1998, κυκλοφόρησε η πρώτη και (εκτός της εργασίας του MGFA) η μοναδική ως τώρα βιογραφία του Λούντβιχ Κύμπλερ, πάλι από τον Ρόλαντ Κάλτενέγκερ."
το χρονικό,chronological,,"Bede, III, 7. Το Αγγλοσαξωνικό χρονικό αναφέρει οτι παραχώρησε τα εδάφη στο Άσντοοου σε έναν ευγενή με το όνομα Κάθρεντ, αν πραγματικά η ημερομηνία θανάτου του Κάθρεντ ήταν το 661 πιθανότατα να ήταν γιος του Κουίκχελμ αν πραγματικά ήτα γιος του Κίνεγκιλς."
η Γερμανία,Germany,,
ο Δεκέμβριος,December,,
το μουσείο,museum,,"Εκεί βρίσκεται και το φαράγγι του Ασωπού, από τις πιο όμορφες περιηγητικές διαδρομές του νομού, καθώς και το μουσείο του Εθνικού Δρυμού της Οίτης που δημιουργήθηκε από το Δασαρχείο."
ο Φεβρουάριος,February,,
τα αποτελέσματα,Results,,"Ακολούθησε βίαιη και πολύνεκρη μάχη, η οποία είχε δυσμενή αποτελέσματα για το Λυκίσκο."
το βραβείο,prize,,"Ακολούθησαν οι συλλογές ""Ο μεγάλος ξενώνας""(Μεταίχμιο),το 2006,""Το αόρατο πλήθος"",το 2008 και ""Η κιβωτός""(Gutenberg),το 2012 όπου ο Πρατικάκης βραβεύεται με το βραβείο της Ακαδημίας Αθηνών για το σύνολο του έργου του."
η δίκη,trial,,"C. Escher"" στις Ηνωμένες Πολιτείες βρήκε εμπόδια, αλλά η Ολλανδική εταιρεία επικράτησε στα δικαστήρια με την αιτιολογία ότι ένας καλλιτέχνης ή οι κληρονόμοι του έχουν δικαίωμα να κατοχυρώσουν το όνομα ως εμπορικό σήμα."
τα δικαιώματα,rights,,"W. Dziewulski, F. Hawranek, Opole - Monografia miasta, Instytut Śląski Opole 1975, p. 57. Το Οπόλε απέκτησε τα πρώτα δικαιώματα πόλης περίπου το 1217, αλλά η ημερομηνία αμφισβητείται."
